No.,Title,Original release date,English release date
14,OverhaulŌbāhōru (オーバーホール),"June 2, 2017[43] 978-4-08-881175-8","August 7, 2018[44]978-1-4215-9947-2"
"""Deku vs. Kacchan, Part 2"" (デクVSかっちゃん2, Deku Bāsasu Kacchan 2)""The Three"" (三人, San'nin)""Second Semester Opening Ceremony"" (後期業式, Kōki-gyō-shiki)""A Season for Encounters"" (出会いの季節, Deai no Kisetsu)""Unrivaled"" (無敵, Muteki)""Trouble Ahead!! Episode: Work Studies"" (胎動!! EPエピソード:インターン, Taidō!! Episōdo: Intān)""Overhaul"" (オーバーホール, Ōbāhōru)""Open Up, World"" (拓け世界, Hirake Sekai)""Sir Nighteye and Izuku Midoriya and Mirio Togata and All Might"" (サー・ナイトアイと緑谷出久と通形ミリオとオールマイト, Sā Naitoai to Midoriya Izuku to Tōgata Mirio to Ōrumaito)""Boy Meets..."" (ボーイ・ミーツ..., Bōi Mītsu...)","""Deku vs. Kacchan, Part 2"" (デクVSかっちゃん2, Deku Bāsasu Kacchan 2)""The Three"" (三人, San'nin)""Second Semester Opening Ceremony"" (後期業式, Kōki-gyō-shiki)""A Season for Encounters"" (出会いの季節, Deai no Kisetsu)""Unrivaled"" (無敵, Muteki)""Trouble Ahead!! Episode: Work Studies"" (胎動!! EPエピソード:インターン, Taidō!! Episōdo: Intān)""Overhaul"" (オーバーホール, Ōbāhōru)""Open Up, World"" (拓け世界, Hirake Sekai)""Sir Nighteye and Izuku Midoriya and Mirio Togata and All Might"" (サー・ナイトアイと緑谷出久と通形ミリオとオールマイト, Sā Naitoai to Midoriya Izuku to Tōgata Mirio to Ōrumaito)""Boy Meets..."" (ボーイ・ミーツ..., Bōi Mītsu...)","""Deku vs. Kacchan, Part 2"" (デクVSかっちゃん2, Deku Bāsasu Kacchan 2)""The Three"" (三人, San'nin)""Second Semester Opening Ceremony"" (後期業式, Kōki-gyō-shiki)""A Season for Encounters"" (出会いの季節, Deai no Kisetsu)""Unrivaled"" (無敵, Muteki)""Trouble Ahead!! Episode: Work Studies"" (胎動!! EPエピソード:インターン, Taidō!! Episōdo: Intān)""Overhaul"" (オーバーホール, Ōbāhōru)""Open Up, World"" (拓け世界, Hirake Sekai)""Sir Nighteye and Izuku Midoriya and Mirio Togata and All Might"" (サー・ナイトアイと緑谷出久と通形ミリオとオールマイト, Sā Naitoai to Midoriya Izuku to Tōgata Mirio to Ōrumaito)""Boy Meets..."" (ボーイ・ミーツ..., Bōi Mītsu...)","""Deku vs. Kacchan, Part 2"" (デクVSかっちゃん2, Deku Bāsasu Kacchan 2)""The Three"" (三人, San'nin)""Second Semester Opening Ceremony"" (後期業式, Kōki-gyō-shiki)""A Season for Encounters"" (出会いの季節, Deai no Kisetsu)""Unrivaled"" (無敵, Muteki)""Trouble Ahead!! Episode: Work Studies"" (胎動!! EPエピソード:インターン, Taidō!! Episōdo: Intān)""Overhaul"" (オーバーホール, Ōbāhōru)""Open Up, World"" (拓け世界, Hirake Sekai)""Sir Nighteye and Izuku Midoriya and Mirio Togata and All Might"" (サー・ナイトアイと緑谷出久と通形ミリオとオールマイト, Sā Naitoai to Midoriya Izuku to Tōgata Mirio to Ōrumaito)""Boy Meets..."" (ボーイ・ミーツ..., Bōi Mītsu...)"
,,,
"""Deku vs. Kacchan, Part 2"" (デクVSかっちゃん2, Deku Bāsasu Kacchan 2)""The Three"" (三人, San'nin)""Second Semester Opening Ceremony"" (後期業式, Kōki-gyō-shiki)""A Season for Encounters"" (出会いの季節, Deai no Kisetsu)""Unrivaled"" (無敵, Muteki)""Trouble Ahead!! Episode: Work Studies"" (胎動!! EPエピソード:インターン, Taidō!! Episōdo: Intān)""Overhaul"" (オーバーホール, Ōbāhōru)""Open Up, World"" (拓け世界, Hirake Sekai)""Sir Nighteye and Izuku Midoriya and Mirio Togata and All Might"" (サー・ナイトアイと緑谷出久と通形ミリオとオールマイト, Sā Naitoai to Midoriya Izuku to Tōgata Mirio to Ōrumaito)""Boy Meets..."" (ボーイ・ミーツ..., Bōi Mītsu...)",,,
"As Izuku uses 8% of One For All to keep up with Bakugo, he learns that Bakugo blames himself for All Might's retirement as he manages to beat Izuku. All Might, watching the fight, makes himself known and informs Bakugo that he shouldn't be blaming himself. Bakugo then learns the history of One For All and vows to keep it a secret as he and Izuku are suspended from classes for a few days (Bakugo got a four day suspension as he started the fight while Izuku got suspended for three days), All Might believing this outcome necessary to help the two become proper rivals in their quests to become heroes. The fall semester begins with Principal Nezu announcing that the first-year students will begin ""hero work-studies"" earlier than planned due to the rising villain threat. Once Izuku's suspension has been lifted as well as writing an apology letter for his misbehaviour, he learns that Class 1-A's training will be overseen by U.A.'s top students - the Big Three. Meanwhile, the League of Villains member Twice, who suffers psychological trauma from using his duplication Quirk on himself years ago, observes how All Might's retirement and public distrust of Endeavor is causing a surge in villain activity. He is approached by a crime boss named Kai ""Overhaul"" Chisaki, who tricks him into taking him to the League of Villains so he can request their services, intent on filling the power vacuum left by All For One's defeat. This results in a fight where Overhaul murders Magne and maims Mr. Compress. Overhaul takes his leave, offering Shigaraki time to reconsider his offer. The next day, Izuku is aided by the Big Three's Mirio Togata in applying for the agency of Sir Nighteye, a former sidekick of All Might's who is investigating Overhaul. Despite his reservations of Deku while revealing his ""Foresight"" Quirk showed him a vision of All Might's death, Sir Nighteye allows him to join his agency. Sometime later, Izuku and Mirio run into Overhaul and a frightened young girl.","As Izuku uses 8% of One For All to keep up with Bakugo, he learns that Bakugo blames himself for All Might's retirement as he manages to beat Izuku. All Might, watching the fight, makes himself known and informs Bakugo that he shouldn't be blaming himself. Bakugo then learns the history of One For All and vows to keep it a secret as he and Izuku are suspended from classes for a few days (Bakugo got a four day suspension as he started the fight while Izuku got suspended for three days), All Might believing this outcome necessary to help the two become proper rivals in their quests to become heroes. The fall semester begins with Principal Nezu announcing that the first-year students will begin ""hero work-studies"" earlier than planned due to the rising villain threat. Once Izuku's suspension has been lifted as well as writing an apology letter for his misbehaviour, he learns that Class 1-A's training will be overseen by U.A.'s top students - the Big Three. Meanwhile, the League of Villains member Twice, who suffers psychological trauma from using his duplication Quirk on himself years ago, observes how All Might's retirement and public distrust of Endeavor is causing a surge in villain activity. He is approached by a crime boss named Kai ""Overhaul"" Chisaki, who tricks him into taking him to the League of Villains so he can request their services, intent on filling the power vacuum left by All For One's defeat. This results in a fight where Overhaul murders Magne and maims Mr. Compress. Overhaul takes his leave, offering Shigaraki time to reconsider his offer. The next day, Izuku is aided by the Big Three's Mirio Togata in applying for the agency of Sir Nighteye, a former sidekick of All Might's who is investigating Overhaul. Despite his reservations of Deku while revealing his ""Foresight"" Quirk showed him a vision of All Might's death, Sir Nighteye allows him to join his agency. Sometime later, Izuku and Mirio run into Overhaul and a frightened young girl.","As Izuku uses 8% of One For All to keep up with Bakugo, he learns that Bakugo blames himself for All Might's retirement as he manages to beat Izuku. All Might, watching the fight, makes himself known and informs Bakugo that he shouldn't be blaming himself. Bakugo then learns the history of One For All and vows to keep it a secret as he and Izuku are suspended from classes for a few days (Bakugo got a four day suspension as he started the fight while Izuku got suspended for three days), All Might believing this outcome necessary to help the two become proper rivals in their quests to become heroes. The fall semester begins with Principal Nezu announcing that the first-year students will begin ""hero work-studies"" earlier than planned due to the rising villain threat. Once Izuku's suspension has been lifted as well as writing an apology letter for his misbehaviour, he learns that Class 1-A's training will be overseen by U.A.'s top students - the Big Three. Meanwhile, the League of Villains member Twice, who suffers psychological trauma from using his duplication Quirk on himself years ago, observes how All Might's retirement and public distrust of Endeavor is causing a surge in villain activity. He is approached by a crime boss named Kai ""Overhaul"" Chisaki, who tricks him into taking him to the League of Villains so he can request their services, intent on filling the power vacuum left by All For One's defeat. This results in a fight where Overhaul murders Magne and maims Mr. Compress. Overhaul takes his leave, offering Shigaraki time to reconsider his offer. The next day, Izuku is aided by the Big Three's Mirio Togata in applying for the agency of Sir Nighteye, a former sidekick of All Might's who is investigating Overhaul. Despite his reservations of Deku while revealing his ""Foresight"" Quirk showed him a vision of All Might's death, Sir Nighteye allows him to join his agency. Sometime later, Izuku and Mirio run into Overhaul and a frightened young girl.","As Izuku uses 8% of One For All to keep up with Bakugo, he learns that Bakugo blames himself for All Might's retirement as he manages to beat Izuku. All Might, watching the fight, makes himself known and informs Bakugo that he shouldn't be blaming himself. Bakugo then learns the history of One For All and vows to keep it a secret as he and Izuku are suspended from classes for a few days (Bakugo got a four day suspension as he started the fight while Izuku got suspended for three days), All Might believing this outcome necessary to help the two become proper rivals in their quests to become heroes. The fall semester begins with Principal Nezu announcing that the first-year students will begin ""hero work-studies"" earlier than planned due to the rising villain threat. Once Izuku's suspension has been lifted as well as writing an apology letter for his misbehaviour, he learns that Class 1-A's training will be overseen by U.A.'s top students - the Big Three. Meanwhile, the League of Villains member Twice, who suffers psychological trauma from using his duplication Quirk on himself years ago, observes how All Might's retirement and public distrust of Endeavor is causing a surge in villain activity. He is approached by a crime boss named Kai ""Overhaul"" Chisaki, who tricks him into taking him to the League of Villains so he can request their services, intent on filling the power vacuum left by All For One's defeat. This results in a fight where Overhaul murders Magne and maims Mr. Compress. Overhaul takes his leave, offering Shigaraki time to reconsider his offer. The next day, Izuku is aided by the Big Three's Mirio Togata in applying for the agency of Sir Nighteye, a former sidekick of All Might's who is investigating Overhaul. Despite his reservations of Deku while revealing his ""Foresight"" Quirk showed him a vision of All Might's death, Sir Nighteye allows him to join his agency. Sometime later, Izuku and Mirio run into Overhaul and a frightened young girl."
15,Fighting FateAragau Unmei (抗う運命),"September 4, 2017[45] 978-4-08-881202-1","October 2, 2018[46]978-1-9747-0100-1"
"""Eri"" (エリ, Eri)""Listen To The Truth"" (聞け真相, Kike Shinsō)""Fighting Fate"" (抗う運命, Aragau Unmei)""The Plan"" (計画, Keikaku)""Catch Up, Kirishima"" (追え切島, Oe Kirishima)""Let's Go, Gutsy Red Riot"" (ガッツだレッツラレッドライオット, Gattsuda Rettsura Reddo Raiotto)""An Unpleasant Talk"" (嫌な話, Iyana Hanashi)""Close At Hand!!"" (間近!!, Majika)""Restraint!!"" (阻止せよ!!, Soshi seyo!!)","""Eri"" (エリ, Eri)""Listen To The Truth"" (聞け真相, Kike Shinsō)""Fighting Fate"" (抗う運命, Aragau Unmei)""The Plan"" (計画, Keikaku)""Catch Up, Kirishima"" (追え切島, Oe Kirishima)""Let's Go, Gutsy Red Riot"" (ガッツだレッツラレッドライオット, Gattsuda Rettsura Reddo Raiotto)""An Unpleasant Talk"" (嫌な話, Iyana Hanashi)""Close At Hand!!"" (間近!!, Majika)""Restraint!!"" (阻止せよ!!, Soshi seyo!!)","""Eri"" (エリ, Eri)""Listen To The Truth"" (聞け真相, Kike Shinsō)""Fighting Fate"" (抗う運命, Aragau Unmei)""The Plan"" (計画, Keikaku)""Catch Up, Kirishima"" (追え切島, Oe Kirishima)""Let's Go, Gutsy Red Riot"" (ガッツだレッツラレッドライオット, Gattsuda Rettsura Reddo Raiotto)""An Unpleasant Talk"" (嫌な話, Iyana Hanashi)""Close At Hand!!"" (間近!!, Majika)""Restraint!!"" (阻止せよ!!, Soshi seyo!!)","""Eri"" (エリ, Eri)""Listen To The Truth"" (聞け真相, Kike Shinsō)""Fighting Fate"" (抗う運命, Aragau Unmei)""The Plan"" (計画, Keikaku)""Catch Up, Kirishima"" (追え切島, Oe Kirishima)""Let's Go, Gutsy Red Riot"" (ガッツだレッツラレッドライオット, Gattsuda Rettsura Reddo Raiotto)""An Unpleasant Talk"" (嫌な話, Iyana Hanashi)""Close At Hand!!"" (間近!!, Majika)""Restraint!!"" (阻止せよ!!, Soshi seyo!!)"
,,,
"""Eri"" (エリ, Eri)""Listen To The Truth"" (聞け真相, Kike Shinsō)""Fighting Fate"" (抗う運命, Aragau Unmei)""The Plan"" (計画, Keikaku)""Catch Up, Kirishima"" (追え切島, Oe Kirishima)""Let's Go, Gutsy Red Riot"" (ガッツだレッツラレッドライオット, Gattsuda Rettsura Reddo Raiotto)""An Unpleasant Talk"" (嫌な話, Iyana Hanashi)""Close At Hand!!"" (間近!!, Majika)""Restraint!!"" (阻止せよ!!, Soshi seyo!!)",,,
"After accidentally encountering Overhaul as he introduces the girl as his daughter Eri, Izuku and Mirio are forced to let the girl leave with Overhaul to prevent him from learning that he is being spied on. As Izuku confronts All Might about his history with Sir Nighteye, Shigaraki is brought to Overhaul's lair to learn more about the Quirk-destroying bullet used on Mr. Compress, which caused him to temporarily lose his Quirk, while agreeing to Overhaul's terms. In Esuha City, Kirishima and Tamaki Amajiki, ""Suneater"" of U.A.'s Big Three, accompany pro-hero Fat Gum on patrol when they confront criminals using both bullets that suppress Quirks along with Quirk-enhancing drugs. When Tamaki is shot and his Quirk is temporarily blocked, Kirishima uses his new ""Red Riot: Unbreakable"" technique to take down the criminals. Izuku, Uraraka, Kirishima and Tsuyu Asui learn that Sir Nighteye has organized a meeting with the other Hero Agencies and numerous pro-heroes to discuss the threat posed by Overhaul's Shie Hassaikai clan. During the meeting, it is revealed that the bullet Tamaki was shot with contained the blood and cells of a human whose Quirk is similar to Aizawa's, speculated to be Eri. Nighteye then proposes having the heroes investigate all known Hassaikai properties to find Eri's location.","After accidentally encountering Overhaul as he introduces the girl as his daughter Eri, Izuku and Mirio are forced to let the girl leave with Overhaul to prevent him from learning that he is being spied on. As Izuku confronts All Might about his history with Sir Nighteye, Shigaraki is brought to Overhaul's lair to learn more about the Quirk-destroying bullet used on Mr. Compress, which caused him to temporarily lose his Quirk, while agreeing to Overhaul's terms. In Esuha City, Kirishima and Tamaki Amajiki, ""Suneater"" of U.A.'s Big Three, accompany pro-hero Fat Gum on patrol when they confront criminals using both bullets that suppress Quirks along with Quirk-enhancing drugs. When Tamaki is shot and his Quirk is temporarily blocked, Kirishima uses his new ""Red Riot: Unbreakable"" technique to take down the criminals. Izuku, Uraraka, Kirishima and Tsuyu Asui learn that Sir Nighteye has organized a meeting with the other Hero Agencies and numerous pro-heroes to discuss the threat posed by Overhaul's Shie Hassaikai clan. During the meeting, it is revealed that the bullet Tamaki was shot with contained the blood and cells of a human whose Quirk is similar to Aizawa's, speculated to be Eri. Nighteye then proposes having the heroes investigate all known Hassaikai properties to find Eri's location.","After accidentally encountering Overhaul as he introduces the girl as his daughter Eri, Izuku and Mirio are forced to let the girl leave with Overhaul to prevent him from learning that he is being spied on. As Izuku confronts All Might about his history with Sir Nighteye, Shigaraki is brought to Overhaul's lair to learn more about the Quirk-destroying bullet used on Mr. Compress, which caused him to temporarily lose his Quirk, while agreeing to Overhaul's terms. In Esuha City, Kirishima and Tamaki Amajiki, ""Suneater"" of U.A.'s Big Three, accompany pro-hero Fat Gum on patrol when they confront criminals using both bullets that suppress Quirks along with Quirk-enhancing drugs. When Tamaki is shot and his Quirk is temporarily blocked, Kirishima uses his new ""Red Riot: Unbreakable"" technique to take down the criminals. Izuku, Uraraka, Kirishima and Tsuyu Asui learn that Sir Nighteye has organized a meeting with the other Hero Agencies and numerous pro-heroes to discuss the threat posed by Overhaul's Shie Hassaikai clan. During the meeting, it is revealed that the bullet Tamaki was shot with contained the blood and cells of a human whose Quirk is similar to Aizawa's, speculated to be Eri. Nighteye then proposes having the heroes investigate all known Hassaikai properties to find Eri's location.","After accidentally encountering Overhaul as he introduces the girl as his daughter Eri, Izuku and Mirio are forced to let the girl leave with Overhaul to prevent him from learning that he is being spied on. As Izuku confronts All Might about his history with Sir Nighteye, Shigaraki is brought to Overhaul's lair to learn more about the Quirk-destroying bullet used on Mr. Compress, which caused him to temporarily lose his Quirk, while agreeing to Overhaul's terms. In Esuha City, Kirishima and Tamaki Amajiki, ""Suneater"" of U.A.'s Big Three, accompany pro-hero Fat Gum on patrol when they confront criminals using both bullets that suppress Quirks along with Quirk-enhancing drugs. When Tamaki is shot and his Quirk is temporarily blocked, Kirishima uses his new ""Red Riot: Unbreakable"" technique to take down the criminals. Izuku, Uraraka, Kirishima and Tsuyu Asui learn that Sir Nighteye has organized a meeting with the other Hero Agencies and numerous pro-heroes to discuss the threat posed by Overhaul's Shie Hassaikai clan. During the meeting, it is revealed that the bullet Tamaki was shot with contained the blood and cells of a human whose Quirk is similar to Aizawa's, speculated to be Eri. Nighteye then proposes having the heroes investigate all known Hassaikai properties to find Eri's location."
16,"Red RiotReddo Raiotto (.mw-parser-output .templateruby>rt{font-feature-settings:""ruby""1;font-size:85%}.mw-parser-output .templateruby.large{font-size:250%}.mw-parser-output .templateruby.large>rt{font-size:50%}烈怒頼雄斗(レッドライオット))","November 2, 2017[47] 978-4-08-881221-2","December 4, 2018[48]978-1-9747-0255-8"
"""Go!!""""Shudder! The Underground Labyrinth"" (戦慄!!地下迷宮, Senritsu!! Chika Meikyū)""Suneater of the Big Three"" (ビッグ3のサンイーター, Biggu 3 no San'ītā)""Hassaikai: Behind the Scenes"" (八斎衆:ビハインド, Hassaishū: Bihaindo)""Shield and Shield, Spear and Shield"" (盾と盾と矛と盾, Tate to Tate to Hoko to Tate)""Let's Rumble, Rappa!!"" (勝負してみようや!! 乱波くん!!, Shōbu shite miyou ya!! Rappa-kun!!)""Red Riot, Part 1"" (烈怒頼雄斗(レッドライオット)①, Reddo Raiotto ①)""Red Riot, Part 2"" (烈怒頼雄斗(レッドライオット)②, Reddo Raiotto ②)""Temp Squad"" (出向, Shukkō)""Twoga!!"" (トゥガイス!!, Tūgaisu!!)","""Go!!""""Shudder! The Underground Labyrinth"" (戦慄!!地下迷宮, Senritsu!! Chika Meikyū)""Suneater of the Big Three"" (ビッグ3のサンイーター, Biggu 3 no San'ītā)""Hassaikai: Behind the Scenes"" (八斎衆:ビハインド, Hassaishū: Bihaindo)""Shield and Shield, Spear and Shield"" (盾と盾と矛と盾, Tate to Tate to Hoko to Tate)""Let's Rumble, Rappa!!"" (勝負してみようや!! 乱波くん!!, Shōbu shite miyou ya!! Rappa-kun!!)""Red Riot, Part 1"" (烈怒頼雄斗(レッドライオット)①, Reddo Raiotto ①)""Red Riot, Part 2"" (烈怒頼雄斗(レッドライオット)②, Reddo Raiotto ②)""Temp Squad"" (出向, Shukkō)""Twoga!!"" (トゥガイス!!, Tūgaisu!!)","""Go!!""""Shudder! The Underground Labyrinth"" (戦慄!!地下迷宮, Senritsu!! Chika Meikyū)""Suneater of the Big Three"" (ビッグ3のサンイーター, Biggu 3 no San'ītā)""Hassaikai: Behind the Scenes"" (八斎衆:ビハインド, Hassaishū: Bihaindo)""Shield and Shield, Spear and Shield"" (盾と盾と矛と盾, Tate to Tate to Hoko to Tate)""Let's Rumble, Rappa!!"" (勝負してみようや!! 乱波くん!!, Shōbu shite miyou ya!! Rappa-kun!!)""Red Riot, Part 1"" (烈怒頼雄斗(レッドライオット)①, Reddo Raiotto ①)""Red Riot, Part 2"" (烈怒頼雄斗(レッドライオット)②, Reddo Raiotto ②)""Temp Squad"" (出向, Shukkō)""Twoga!!"" (トゥガイス!!, Tūgaisu!!)","""Go!!""""Shudder! The Underground Labyrinth"" (戦慄!!地下迷宮, Senritsu!! Chika Meikyū)""Suneater of the Big Three"" (ビッグ3のサンイーター, Biggu 3 no San'ītā)""Hassaikai: Behind the Scenes"" (八斎衆:ビハインド, Hassaishū: Bihaindo)""Shield and Shield, Spear and Shield"" (盾と盾と矛と盾, Tate to Tate to Hoko to Tate)""Let's Rumble, Rappa!!"" (勝負してみようや!! 乱波くん!!, Shōbu shite miyou ya!! Rappa-kun!!)""Red Riot, Part 1"" (烈怒頼雄斗(レッドライオット)①, Reddo Raiotto ①)""Red Riot, Part 2"" (烈怒頼雄斗(レッドライオット)②, Reddo Raiotto ②)""Temp Squad"" (出向, Shukkō)""Twoga!!"" (トゥガイス!!, Tūgaisu!!)"
,,,
"""Go!!""""Shudder! The Underground Labyrinth"" (戦慄!!地下迷宮, Senritsu!! Chika Meikyū)""Suneater of the Big Three"" (ビッグ3のサンイーター, Biggu 3 no San'ītā)""Hassaikai: Behind the Scenes"" (八斎衆:ビハインド, Hassaishū: Bihaindo)""Shield and Shield, Spear and Shield"" (盾と盾と矛と盾, Tate to Tate to Hoko to Tate)""Let's Rumble, Rappa!!"" (勝負してみようや!! 乱波くん!!, Shōbu shite miyou ya!! Rappa-kun!!)""Red Riot, Part 1"" (烈怒頼雄斗(レッドライオット)①, Reddo Raiotto ①)""Red Riot, Part 2"" (烈怒頼雄斗(レッドライオット)②, Reddo Raiotto ②)""Temp Squad"" (出向, Shukkō)""Twoga!!"" (トゥガイス!!, Tūgaisu!!)",,,
"Izuku and Mirio take Aizawa's advice not to let their emotions over failing to save Eri when they had the chance get the better of them following Sir Nighteye's meeting. Meanwhile, Nighteye uses his Quirk on one of Overhaul's subordinates and pinpoints Eri's location. With intel on the layout of the Shie Hassaikai's headquarters and support from the police, the heroes stage a dawn raid, with Ryukyu's group subduing several of the yakuza while Nighteye and Fat Gum's groups proceed to the lower levels. The Shie Hassaikai member Joi Irinaka uses a Quirk-enhancing drug to take control of the basement level to separate the intruders, Tamaki holding off three members of Overhaul's ""Eight Bullets"" enforcers while Kirishima and Fat Gum are pushed to their limits in defeating the Eight Bullets members Kendo Rappa and Hekiji Tengai, with the former revealing Overhaul's plans. Meanwhile, Izuku's group struggles against Irinaka as Himiko and Twice make their presence known.","Izuku and Mirio take Aizawa's advice not to let their emotions over failing to save Eri when they had the chance get the better of them following Sir Nighteye's meeting. Meanwhile, Nighteye uses his Quirk on one of Overhaul's subordinates and pinpoints Eri's location. With intel on the layout of the Shie Hassaikai's headquarters and support from the police, the heroes stage a dawn raid, with Ryukyu's group subduing several of the yakuza while Nighteye and Fat Gum's groups proceed to the lower levels. The Shie Hassaikai member Joi Irinaka uses a Quirk-enhancing drug to take control of the basement level to separate the intruders, Tamaki holding off three members of Overhaul's ""Eight Bullets"" enforcers while Kirishima and Fat Gum are pushed to their limits in defeating the Eight Bullets members Kendo Rappa and Hekiji Tengai, with the former revealing Overhaul's plans. Meanwhile, Izuku's group struggles against Irinaka as Himiko and Twice make their presence known.","Izuku and Mirio take Aizawa's advice not to let their emotions over failing to save Eri when they had the chance get the better of them following Sir Nighteye's meeting. Meanwhile, Nighteye uses his Quirk on one of Overhaul's subordinates and pinpoints Eri's location. With intel on the layout of the Shie Hassaikai's headquarters and support from the police, the heroes stage a dawn raid, with Ryukyu's group subduing several of the yakuza while Nighteye and Fat Gum's groups proceed to the lower levels. The Shie Hassaikai member Joi Irinaka uses a Quirk-enhancing drug to take control of the basement level to separate the intruders, Tamaki holding off three members of Overhaul's ""Eight Bullets"" enforcers while Kirishima and Fat Gum are pushed to their limits in defeating the Eight Bullets members Kendo Rappa and Hekiji Tengai, with the former revealing Overhaul's plans. Meanwhile, Izuku's group struggles against Irinaka as Himiko and Twice make their presence known.","Izuku and Mirio take Aizawa's advice not to let their emotions over failing to save Eri when they had the chance get the better of them following Sir Nighteye's meeting. Meanwhile, Nighteye uses his Quirk on one of Overhaul's subordinates and pinpoints Eri's location. With intel on the layout of the Shie Hassaikai's headquarters and support from the police, the heroes stage a dawn raid, with Ryukyu's group subduing several of the yakuza while Nighteye and Fat Gum's groups proceed to the lower levels. The Shie Hassaikai member Joi Irinaka uses a Quirk-enhancing drug to take control of the basement level to separate the intruders, Tamaki holding off three members of Overhaul's ""Eight Bullets"" enforcers while Kirishima and Fat Gum are pushed to their limits in defeating the Eight Bullets members Kendo Rappa and Hekiji Tengai, with the former revealing Overhaul's plans. Meanwhile, Izuku's group struggles against Irinaka as Himiko and Twice make their presence known."
17,LemillionRumirion (ルミリオン),"February 2, 2018[49] 978-4-08-881320-2","February 5, 2019[50]978-1-9747-0256-5"
"""The Anguish of Young Twoga"" ((若きトゥガイスの悩み, Wakaki Tūgaisu no Nayami)""Don't Get Mad, Irinaka"" (怒らないでよ入中くん, Okoranaide yo Irinaka-kun)""Mirio Togata"" (通形ミリオ, Tōgata Mirio)""Mirio Togata!!"" (通形ミリオ!!, Tōgata Mirio!!)""Lemillion"" (ルミリオン, Rumirion)""Transform!"" (変身!, Henshin!)""Unforeseen Hope"" (見えない希望, Mienai Kibō)""Saviors, the Saved and a Hero's Place"" (救う人、救われる人、ヒーローの所在, Sukuu Hito, Sukuwareru Hito, Hīrō no Shozai)""The Power of Those Saved"" (救われる人のチカラ, Sukuwareru Hito no Chikara)""Infinite 100 Percent"" (無限100%, Mugen 100 Pāsento)","""The Anguish of Young Twoga"" ((若きトゥガイスの悩み, Wakaki Tūgaisu no Nayami)""Don't Get Mad, Irinaka"" (怒らないでよ入中くん, Okoranaide yo Irinaka-kun)""Mirio Togata"" (通形ミリオ, Tōgata Mirio)""Mirio Togata!!"" (通形ミリオ!!, Tōgata Mirio!!)""Lemillion"" (ルミリオン, Rumirion)""Transform!"" (変身!, Henshin!)""Unforeseen Hope"" (見えない希望, Mienai Kibō)""Saviors, the Saved and a Hero's Place"" (救う人、救われる人、ヒーローの所在, Sukuu Hito, Sukuwareru Hito, Hīrō no Shozai)""The Power of Those Saved"" (救われる人のチカラ, Sukuwareru Hito no Chikara)""Infinite 100 Percent"" (無限100%, Mugen 100 Pāsento)","""The Anguish of Young Twoga"" ((若きトゥガイスの悩み, Wakaki Tūgaisu no Nayami)""Don't Get Mad, Irinaka"" (怒らないでよ入中くん, Okoranaide yo Irinaka-kun)""Mirio Togata"" (通形ミリオ, Tōgata Mirio)""Mirio Togata!!"" (通形ミリオ!!, Tōgata Mirio!!)""Lemillion"" (ルミリオン, Rumirion)""Transform!"" (変身!, Henshin!)""Unforeseen Hope"" (見えない希望, Mienai Kibō)""Saviors, the Saved and a Hero's Place"" (救う人、救われる人、ヒーローの所在, Sukuu Hito, Sukuwareru Hito, Hīrō no Shozai)""The Power of Those Saved"" (救われる人のチカラ, Sukuwareru Hito no Chikara)""Infinite 100 Percent"" (無限100%, Mugen 100 Pāsento)","""The Anguish of Young Twoga"" ((若きトゥガイスの悩み, Wakaki Tūgaisu no Nayami)""Don't Get Mad, Irinaka"" (怒らないでよ入中くん, Okoranaide yo Irinaka-kun)""Mirio Togata"" (通形ミリオ, Tōgata Mirio)""Mirio Togata!!"" (通形ミリオ!!, Tōgata Mirio!!)""Lemillion"" (ルミリオン, Rumirion)""Transform!"" (変身!, Henshin!)""Unforeseen Hope"" (見えない希望, Mienai Kibō)""Saviors, the Saved and a Hero's Place"" (救う人、救われる人、ヒーローの所在, Sukuu Hito, Sukuwareru Hito, Hīrō no Shozai)""The Power of Those Saved"" (救われる人のチカラ, Sukuwareru Hito no Chikara)""Infinite 100 Percent"" (無限100%, Mugen 100 Pāsento)"
,,,
"""The Anguish of Young Twoga"" ((若きトゥガイスの悩み, Wakaki Tūgaisu no Nayami)""Don't Get Mad, Irinaka"" (怒らないでよ入中くん, Okoranaide yo Irinaka-kun)""Mirio Togata"" (通形ミリオ, Tōgata Mirio)""Mirio Togata!!"" (通形ミリオ!!, Tōgata Mirio!!)""Lemillion"" (ルミリオン, Rumirion)""Transform!"" (変身!, Henshin!)""Unforeseen Hope"" (見えない希望, Mienai Kibō)""Saviors, the Saved and a Hero's Place"" (救う人、救われる人、ヒーローの所在, Sukuu Hito, Sukuwareru Hito, Hīrō no Shozai)""The Power of Those Saved"" (救われる人のチカラ, Sukuwareru Hito no Chikara)""Infinite 100 Percent"" (無限100%, Mugen 100 Pāsento)",,,
